Alubias con sacramentos;Poner las alubias en remojo el día anterior. Cocer la costilla y el tocino con agua y una pizca de sal durante 30 minutos en la olla a presión.Escurrir y reservar. Aparte, se pone a cocer la morcilla y el chorizo en una cazuela con agua y una pizca de sal durante 40 minutos y a fuego suave. Picar la cebolleta, el pimiento verde y el puerro, llevándolo a pochar en la olla con un poco de aceite. Escurrimos y agregamos las alubias. Cubrir con agua, sazonamos y tapamos, dejando unos 30 minutos. Las alubias se sirven con todos sus sacramentos. Unas guindillas de Ibarra son el complemento ideal.;Tolosa
Angulas al estilo tradicional;Se coloca a fuego vivo en una cazuela de barro pequeña aceite de oliva virgen, junto a un diente de ajo, trozeado en laminas y un trozo de guindilla. Cuando hierva se añade un cuarto de kilo de angulas, que deben revolverse de forma continua con un tenedor de madera. Tras un corto hervor, se sirven directamente en la cazuela. Una bonita manera de presenatación es en cazuela individual por cada comensal.;Tolosa
Bacalao a la vizcaína;Previamente, poner en agua el bacalao durante unas 24 horas, cambiándola con frecuencia. Para la salsa, echamos en una sartén el aceite de oliva hasta cubrir el fondo. Se corta la cebolla en trocitos pequeños, se pocha a fuego lento y, cuando empieza a dorar, se añaden los ajos y el puerro picado. Añadimos el pan troceado o unas cucharaditas de harina para ligar la salsa. Para los pimientos: tras quitarles las semillas, los lavamos y dejamos en remojo con agua fría. Llevamos a ebullición y tiramos esa agua. Los ponemos en agua fría nuevamente y llevamos a hervir. Ya están listos para sacar toda la carne desechando la piel, que añadiremos a la salsa. Pasamos todo por el chino (nunca con la batidora), para conseguir un punto de finura. Colocamos el bacalao sobre la salsa con la piel hacia arriba, dejando a fuego bajo unos pocos minutos... y a saborearlo. ;Tolosa
Bacalao al Pil Pil;El bacalao se ha tenido previamente en remojo desde el día anterior cambiando el agua tres veces para desalarlo. Desescamar y secar después con un paño limpio. Colocar una cazuela de barro a fuego medio con el aceite de oliva y los dientes de ajo en láminas. Cuando empiecen a tomar color, retirarlos y reservar. Echar las cuatro tajadas de bacalao, que se dejarán cocer suavemente (nunca freír) durante unos siete u ocho minutos aproximadamente, hasta que el bacalao se ablande. Entonces, retirar la cazuela y pasar este bacalao a otra cazuela, siempre con la piel para arriba y con dos cucharadas del aceite caliente. Dejarlo durante dos o tres minutos para que sude el bacalao. Transcurridos, poner la cazuela sobre una plancha o un fuego bajo y ligar la salsa, añadiendo el aceite restante que ya habrá templado. Ha de moverse en círculos con cuidado de que no se rompa el bacalao y de que no hierva, ya que esto haría que se nos cortara la salsa. A medida de que movamos la cazuela, la salsa irá engordando hasta alcanzar una textura gelatinosa, momento en el cual el plato estará listo.Servir con la piel de los lomos de bacalao arriba y cubierto de una salsa que ha de tapar parcialmente los trozos. Encima de cada lomo colocar unas doradas láminas de ajo que habíamos reservado.;Tolosa
Bonito con Tomate;En una cazuela de barro se pone a sofreir en aceite de oliva dos cebollas y un diente de ajo trozeados finito. Cuando esté se añaden rodajas de bonito (dos por persona).  Se retira de la cazuela el bonito y se añade tomate pelado  y troceado en dados. Se sazona y se le añade una pizca de azúcar.  Se pasa por el pasador hasta obtener una salsa fina, que se vierte en la cazuela y sobre la que se coloca el bonito, dándole un hervor.;Tolosa
Caracoles;Los caracoles deben estar limpios, para lo cual han tenido que pasar unos días purgando dentro de una red o en un recipiente adecuado, con el fin de facilitar su lavado posterior. Como se habrán quedado secos, los metemos en agua y los mantenemos tapados durante un día. A continuación, los lavamos 5 ó 6 veces hasta que queden totalmente limpios. Una vez lavados, los cocemos en una olla con agua junto con los puerros, las cebolletas, la guindilla, un vaso de vino, perejil y sal, durante unos  noventa minutos. Aparte hacemos una salsa pasando por un pasapuré el resultado de sofreir la cebolla picada, el tocino, el pan y la carne de los pimientos choriceros. Vertemos esta salsa en una cazuela de barro y se le agrega el jamón cortado en taquitos y los caracoles y se terminan de hacer en ella durante media hora.  ;Tolosa
Chuletillas al sarmiento;Debemos hacer las chuletillas en una parrilla colocada sobre las brasas vivas de un fuego hecho a base de sarmientos de vid. Debemos tener las chuletillas en aceite de oliva. Cuando la brasa esté lista las salamos y las colocamos sobre la parrilla hasta que quede hecha en el exterior y rosada en el interior, consiguiendo una textura crujiente y tierna a la vez.;Tolosa
Cuajada;La leche más adecuada para hacerlo es la de cabra, pero puede hacerse con leche entera de vaca. Poner la leche hasta que hierva, momento en el que se retira del fuego. Cuando baja hasta una temperatura tibia añadimos el cuajo.  Se remueve bien y se reparte en vasos de barro individuales. Se sirve frío acompañado de miel.;San Sebastián
Gilda;El pintxo por antonomasia en Euskadi, el aperitivo de todo bar, es la Gilda.Algo que en principio es sencillo. Sólo se necesita un palillo, una aceituna, una anchoa en salazón y una o dos guindillas de Ibarra en vinagre. El pintxo perfecto.Adopta el nombre por la película Gilda donde Rita Hayworth, salada y picante, se despoja de un guante mientras canta  Put the blame on Mame.Hay que elegir materia prima de la mejor calidad para tener éxito.Montaje: Alternamos los productos en el palillo procurando terminar con la aceituna. ;San Sebastián
Goxua;Aunque lo ideal es hacer de forma casera tanto el bizcocho como la nata y la crema, hoy en día estos elementos pueden adquirirse ya hechos. Empapamos el bizcocho de almíbar. Cortamos el bizcocho en cinco discos de un palmo de diámetro. Para preparar las raciones de goxua colocamos los discos de bizcocho sobre un botón de nata y los cubrimos de crema pastelera, sobre la que espolvorearemos azúcar y canela. Después debemos quemar la superficie con la base de una sartén calentada al fuego, para que el bizcocho quede recubierto de caramelo.;San Sebastián
Intxaursaltsa;Se cuece la mitad de la leche con una ramita de canela y cuando rompa a hervir dejar infusionar 5 minutos. Colar para eliminar el palo.Se cascan las nueces y se saca el fruto. Trituraremos en un mortero, o en una picadora, la mitad de esos frutos junto con el azúcar. Cuanto más molidas queden las nueces más fina resultará la  intxaursaltsa. Añadir a la cazuela con la leche la nuez molida con el azúcar.Cuando empiece a hervir, remover constantemente con unas varillas de mano durante 10 minutos mientras borbotea suavemente.Se deja cocer todo a fuego lento durante unos 80 minutos, removiendo de vez en cuando. A medida que se evapore el líquido, vamos añadiendo la leche restante hasta que quede una crema espesa con un color tostado.Retira del fuego y deja que se temple. Se sirve adornada con el resto de nueces peladas molidas y con una hoja de menta.  Se puede tomar fría, templada o caliente, según tu gusto.;San Sebastián
Marmitako;Se pone a rehogar en una cazuela la cebolla picada y el ajo con un poco de aceite. Cuando esté blanda se añaden los pimientos picados y la carne de los pimientos choriceros. Posteriormente se añaden los tomates cortados y pelados. Cuando esté todo bien rehogado se añaden la patata cortada en dados y se cubre con agua o caldo hecho de cocer los despojos del bonito. Se pone a hervir y se sazona. Cuando esté hecho se introduce el bonito, cortado en dados y sazonado, se tapa la cazuela y pasados unos instantes se apaga el fuego y se deja reposar durante diez minutos para que el bonito termine de hacerse.;San Sebastián
Merluza en salsa verde;Dejar las almejas en remojo con sal y agua durante 1 hora, para que suelten toda la sal. Pelar los dientes de ajo y picarlos finos. En una cazuela echar el aceite y poner a calentar. Añadir los ajos y que se tuesten un poquito. Luego una cuchara de harina y dejarla medio minuto. Echar el vino y el caldo de pescado, caliente mejor. Añadir el perejil picado y poner las rodajas en la cazuela. Con tres minutos de cocción por cada lado, meneando la cazuela, vale. Echar las almejas y seguir moviendo la cazuela, hasta conseguir que la salsa ligue. En poco tiempo el plato estará listo. Verás qué delicia.;San Sebastián
Pastel Vasco;Con una batidora de varillas conseguir una mezcla esponjosa con el azúcar y la mantequilla, la harina y las yemas de huevo, la ralladura de medio limón y un chorro de cointreau, añadidos en este orden.Cubrir de mantequilla y harina un molde redondo y desmontable. Luego cubrirlo con una capa fina de masa y dejar que se enfríe. Por otro lado mezclar un puñado de orejones picados y otro de pasas con la crema pastelera. Verter la mezcla resultante sobre el molde preparado previamente y cubrirlo con más masa. Usar un pincel para cubrir la el pastel con huevo batido y hornear a temperatura alta durante 45 minutos.;San Sebastián
Patatas con chorizo;Picamos muy finos la cebolla, el pimiento verde y el rojo. En una cazuela con un poco de aceite echamos la cebolla y los pimientos, salpimentamos y agregamos el laurel. Dejamos pochar a fuego lento unos 15 minutos.Mientras, se pelan las patatas y las partimos. Cortamos el chorizo en rodajas y lo añadimos dando unas vueltas.Agregamos una cucharadita de pimentón, removiendo un poco. Se echa el agua según la cantidad que se desee, dejando hervir unos 10 minutos.Agregamos las patatas y llevamos a hervir durante 20 minutos a un fuego medio. Probamos para ver la intensidad de sal y pimienta... y a la mesa.;Bilbao
Sukalki;Poner una sartén a fuego vivo con el aceite y los tres dientes de ajo. Cuando éstos estén tomando color, se retiran y se añade la carne cortada en trozos y sazonada, que se deja hasta que aparezca dorada. Una vez dorada, se retira la carne y se cuela el aceite que hemos utilizado para freír la carne.Colocar en una cazuela el aceite colado y a fuego lento incorporar la cebolla, el puerro y las zanahorias, todos ellos pelados y picados finamente. Sazonar. Dejar pochar pausadamente, moviendo con una espátula de madera de vez en cuando hasta que toda la verdura esté medio dorada. Incorporar el tomate hecho y la pulpa de los pimientos choriceros. Dejar unos 10 minutos.Agregar los trozos de carne a la cazuela de las verduras y rociarla con el vino blanco seco. Procurar que se haga despacio, vigilando para que no se pegue. Añadir caldo o agua caliente si es necesario. Cuando la carne está a punto de ablandarse, retirarla de la cazuela. El caldo de las verduras pasarlo por un colador o chino.Incorporar a la cazuela el caldo y las patatas cascadas. Reogarlas durante unos 3 minutos moviendo con la espátula. Agregar los trozos de carne y el caldo o agua caliente hasta cubrir el guiso. Cuando las patatas vayan a obtener su punto, apagar el fuego. Dejar la cazuela tapada en reposo durante 10 o 15 minutos antes de servir.;Bilbao
Txipirones en su tinta;Se sofríe en una cazuela bañada de aceite de oliva la cebolla picada, el ajo laminado y el tomate picado fino. Dejamos que se poche la cebolla. A continuación añadimos a la cazuela el pan duro picado, y se deja unos minutos hasta conseguir una masa homogénea. Mezclamos la tinta de los txipirones con el vino blanco y lo añadimos a la cazuela. Dejar cocer durante media hora. Mientras, podemos ir limpiando los txipirones. Si decidimos rellenarlos con sus propias patas, las picamos y las introducimos en el cuerpo del txipirón. Cuando se haya cocido la salsa, pasar por el pasapuré, para conseguir que sea cremosa. Añadimos los txipirones a la cazuela y dejamos cocer unos 20 minutos. Solo te queda chuparte los dedos.;Bilbao
Txangurro;Cocer el centollo en agua con sal durante un cuarto de hora contado desde que empieza a hervir.Por otro lado se pone a sofreír en aceite la cebolla y el puerro picados. A medida que van haciéndose, se añade el tomate pelado y cortado en trozos, y se deja hacer hasta que se deshaga, aproximadamente un cuarto de hora. Se abre el txangurro y su jugo se vierte en la cazuela de la salsa. Se le echa un chorrito de Brandy y se mezcla todo muy bien. Se extrae la carne en trozos grandes de las patas (abriéndolas con un mazo) y el cuerpo. Se mezcla con la salsa y se le da un hervor corto. Se vierte en el caparazón y, cubierto con un poco de mantequilla y de pan rallado se gratina en el horno.;Bilbao
Zurrukutuna;El bacalao se ha tenido previamente en remojo desde el día anterior cambiando el agua tres veces para desalarlo. Los pimientos choriceros también deben haber estado en remojo durante al menos 5 horas para extraer la carne.  En una cazuela de barro ponemos a dorar el ajo picado. Cuando esté añadimos el pimiento verde, picado fino. Cuando esté blando se añade el bacalao desmigado, la carne de los pimientos choriceros y el pan tostado, cubierto con un poco de caldo. A medida que se va haciendo se mezcla y aplasta para que se vaya convirtiendo en una masa. Poco antes de terminar se añaden los huevos sin batir para que se hagan sobre la masa. Sobre los huevos se  espolvorea una pizca de perejil picado y se deja sobre el fuego hasta que se hagan los huevos.;Bilbao
